date,description,amount,type,balance,category
2026-03-01,UPI/Dwijesh Hemant/RATN/620731960781/Paid securel,155.72,debit,4844.28,transfer
2026-03-01,UPI/YAM LAL CHAPAG/HDFC/215014380510/Payment from,18.12,debit,4826.16,transfer
2026-03-02,UPI/Airtel Postpai/PPIW/432453744569/UPI,808.03,debit,4018.13,bills
2026-03-02,UPI/ARPITA NAG/CNRB/937365168739/UPI,92.02,debit,3926.11,transfer
2026-03-02,UPI/Amazon Pay/PPIW/590636666781/Request from,2314.34,debit,1611.77,shopping
2026-03-02,PCI/8056/ANTHROPIC* CLAUDE SUB/+929779468273/09:09,2353.00,debit,-741.23,bills
2026-03-02,PCI/4729/NETFLIX.COM/+647909687734/22:33,313.62,debit,-1054.85,bills
2026-03-02,UPI/Jio Recharge/SBIN/496032151756/UPI,578.94,debit,-1633.79,bills
2026-03-03,NEFT/SALARY CREDIT/383419061457,35809.96,credit,34176.17,income
2026-03-03,UPI/MSEB Electrici/HDFC/962207628140/UPI,897.81,debit,33278.36,bills
2026-03-03,UPI/Krishna milk/RATN/844600648344/UPI,71.09,debit,33207.27,food
2026-03-04,UPI/Rapido Bike/SVCB/615019233873/UPI,39.08,debit,33168.19,travel
2026-03-04,UPI/Mitesh Mahendr/RATN/510022325018/NO REMARK,239.18,credit,33407.37,transfer
2026-03-04,UPI/Blinkit/YESB/991235815464/Pay via Razo,1024.28,debit,32383.09,groceries
2026-03-06,UPI/Uber India Sys/HDFC/441969650322/UPI,102.08,debit,32281.01,travel
2026-03-06,UPI/ARPITA NAG/IDFB/302866945273/UPI,792.99,credit,33074.00,transfer
2026-03-07,UPI/New Daimond 2/CNRB/678692079564/UPI,191.17,debit,32882.83,food
2026-03-07,UPI/DARNE SOHAM SU/UBIN/370499131349/Paid securel,402.79,debit,32480.04,transfer
2026-03-07,UPI/NMMTGhansoli C/UBIN/644693972718/UPI,13.20,debit,32466.84,travel
2026-03-08,UPI/Swiggy Limited/SBIN/457863323029/UPI,800.80,debit,31666.04,food
2026-03-09,UPI/Flipkart Inter/KKBK/252517657786/UPI,2326.44,debit,29339.60,shopping
2026-03-09,UPI/Ravi s Gowda/CNRB/788721118027/Paid securel,102.60,debit,29237.00,transfer
2026-03-09,UPI/Impression sal/UTIB/726500309308/UPI,280.86,debit,28956.14,shopping
2026-03-10,UPI/Airtel Postpai/SBIN/389864311919/UPI,301.32,debit,28654.82,bills
2026-03-10,UPI/DARNE SOHAM SU/IDFB/734095387422/UPI,695.08,credit,29349.90,transfer
2026-03-10,UPI/PRADEEP PAN SH/UBIN/665866553512/NO REMARK,21.15,debit,29328.75,transfer
2026-03-10,UPI/ARPITA NAG/PPIW/178749758444/Payment from,29.40,credit,29358.15,transfer
2026-03-11,UPI/BLINKIT/SVCB/578970408401/Pay via Razo,1272.90,debit,28085.25,groceries
2026-03-11,UPI/Ugaoo/KKBK/226602381912/Payment To U,432.83,debit,27652.42,shopping
2026-03-13,UPI/Rapido Bike/UTIB/676315074875/UPI,75.92,debit,27576.50,travel
2026-03-14,UPI/Smaaash Gaming/YESB/979506390357/UPI,479.76,debit,27096.74,entertainment
2026-03-14,UPI/HP PETROL PUMP/IDFB/979089454998/UPI,807.99,debit,26288.75,travel
2026-03-14,UPI/DECATHLON SPOR/RATN/447838769966/UPI,696.06,debit,25592.69,shopping
2026-03-14,UPI/ARUNA HEMANT P/IBKL/623964235593/NO REMARK,287.01,debit,25305.68,transfer
2026-03-14,UPI/Smaaash Gaming/YESB/766384838702/UPI,1274.07,debit,24031.61,entertainment
2026-03-14,UPI/Smaaash Gaming/KKBK/944516662814/UPI,650.62,debit,23380.99,entertainment
2026-03-14,UPI/Swiggy Limited/SBIN/178898671526/UPI,611.29,debit,22769.70,food
2026-03-15,UPI/APURBA NAG/UTIB/630474097592/Paid securel,1236.54,credit,24006.24,transfer
2026-03-15,UPI/ARPITA NAG/IDFB/470756034419/Payment from,256.07,credit,24262.31,transfer
2026-03-15,UPI/Ravi s Gowda/RATN/757428102082/Payment from,759.52,debit,23502.79,transfer
2026-03-16,UPI/DARNE SOHAM SU/SVCB/168920004775/UPI,1133.88,credit,24636.67,transfer
2026-03-16,UPI/Sharafat Ali/RATN/687961973394/Paid securel,2106.50,debit,22530.17,transfer
2026-03-16,UPI/CHENNAI EDALI/IBKL/297803925998/UPI,177.56,debit,22352.61,food
2026-03-16,Recd:IMPS/938459305284/Amazon Sel/KKBK/X7294/PCXQJ,3530.04,credit,25882.65,income
2026-03-17,UPI/Impression sal/PPIW/546948345997/UPI,150.69,debit,25731.96,shopping
2026-03-17,UPI/Dr Lal PathLab/CNRB/256446092134/UPI,781.54,debit,24950.42,health
2026-03-17,UPI/RAJESH KUMAR J/RATN/477683412242/Paid securel,19.67,credit,24970.09,transfer
2026-03-18,UPI/DMart Avenue/PPIW/708434087357/UPI,2477.56,debit,22492.53,groceries
2026-03-18,UPI/MSEB Electrici/PPIW/172562619409/UPI,2212.24,debit,20280.29,bills
2026-03-18,UPI/Patil Vadapav/IBKL/712866876659/UPI,39.46,debit,20240.83,food
2026-03-19,UPI/SOURAV DHAR/KKBK/179524005682/UPI,547.45,debit,19693.38,transfer
2026-03-20,UPI/V SUDALAI KONA/SVCB/151625228204/UPI,53.74,credit,19747.12,transfer
2026-03-20,UPI/HP PETROL PUMP/SBIN/344639035382/UPI,1595.61,debit,18151.51,travel
2026-03-20,UPI/DARNE SOHAM SU/PPIW/216660026914/UPI,1130.10,debit,17021.41,transfer
2026-03-21,UPI/NIRAJ KUMAR/RATN/433783476312/UPI,53.47,debit,16967.94,transfer
2026-03-21,UPI/Ganga Sagar Fa/SVCB/956045934162/UPI,67.63,debit,16900.31,food
2026-03-21,UPI/Impression sal/IBKL/729407705162/UPI,124.85,debit,16775.46,shopping
2026-03-21,UPI/Shubham Brahmd/RATN/987092228041/Paid securel,382.89,debit,16392.57,transfer
2026-03-21,UPI/IRCTC Rail Con/SBIN/895506434849/UPI,1119.48,debit,15273.09,travel
2026-03-22,UPI/Flipkart Inter/PPIW/132477380416/UPI,3847.97,debit,11425.12,shopping
2026-03-22,UPI/Krishna milk/IDFB/401279066707/UPI,78.52,debit,11346.60,food
2026-03-22,UPI/RELIANCE TREND/IDFB/154528923432/UPI,2445.67,debit,8900.93,shopping
2026-03-22,UPI/Shubham Brahmd/YESB/340281660071/NO REMARK,2999.77,credit,11900.70,transfer
2026-03-22,UPI/V SUDALAI KONA/SVCB/568733811490/UPI,47.99,debit,11852.71,transfer
2026-03-22,UPI/SHIVAM SUPER M/IBKL/810520593324/UPI,376.24,debit,11476.47,groceries
2026-03-22,UPI/Starbucks India/IBKL/466238220459/UPI,678.85,debit,10797.62,food
